Food item,Calories,Carbs,Fat,Protein
Aloo Matar,219,48.4,0.5,6.7
Aloo Gobi ,206,33,7,5
Adhirasam,302,200,5,3.7
Aloo Methi,223,29,9,6
Shimla Mirch,117,0,0,0
Aloo tikki,120,12,1.8,1.2
Anarsa,304,24.5,22.7,0.5
Ariselu,103,14,5,1
Bandar laddu,131,3.4,11.8,5.1
Basundi,253,29,12,7.4
Batata Bhaji,162,22.5,7.5,3
bhatura,220,28,9,7
Bhindi Masala,83,7,1.4,4
Biryani,163,13.3,7.7,9.5
Boondi,145,12,10,5
Butter Chicken,497,40,24,43
Kheer,282,47.6,6.8,8
Cham Cham,170,35,2,4
Chana Masala,200,23,8,8
Chapati,72,15,0.4,3
Chhena Kheeri,100,1,1,50
Chicken Razala,308,13.4,19.6,18.6
Chicken Tikka,300,7,6,45
Chicken Tikka Masala,400,35,25,26
Chikki,620,40,40,24
Dal Bati Churma,320,30,5,4
puri,110,16,3,3
Daal Makhani,427,39.5,24.2,16.3
Daal Tadaka,57,8,1.5,2.8
Dharwad pedha,152,18.1,7,5.5
double ka meetha,337,53.8,11.1,6.9
dhoodh pak,100,1,1,50
Dum Aloo,164,34.4,4.8,5.2
Gajar Halwa,81,15.8,3.8,8
Gavvalu,100,0,5,1
Ghewar,4,0.2,0.4,0
Gulab Jamun,90,7,6,3
Idli,69,15,0.2,1.2
Imarti,500,80,18,4
Jalebi,108,23,1.7,0.8
Kachori,466,52,23,0
Kadai Paneer,458,25.8,33,19.4
Kadhi pakoda,190,10,14,5
Khaja,100,1,1,50
Kalakand,100,11,6,4
Karela Bharta,184,8.2,17,1.1
Kofta,524,12,16.5,78.5
Koshimbir,100,0,0,0
Kuzhi Paniyaram,100,1,1,50
Lassi,154,25,4.5,2.6
Ledikeni,100,1,1,50
Litti Choka,144,25.1,3.4,5.2
Lyangcha,100,1,1,50
Machh Jhol,100,1,1,50
Makki di Roti sarson da sag,80,16,1,2
Malapua,100,1,1,50
Misi Roti,280,38,11,5
Misti Doi,184,26.5,6.8,4.3
Modak,132,20,4,2
Mysore pak, 15 grams",92,7.5,6.6,0.5
Naan,259,50,7,8
Navrattan Kurma,140,11,10,4
Coconut Chatani,250,8,15,8
Paneer,100,0,8,6
Paneer Butter Masala,201,6.9,16.3,8.2
Pav Bhaji,118,19,3.9,5
Phirni,345,41,15.7,11.8
Pithe,226,45,3,5
Pohe,270,46,7,5.8
Poornalu,200,40,3,4
Pootharekulu,158,31,4,2
Qubani ka meetha,470,106.9,2.2,5.4
Rabri,278,22.5,18,6.5
Ras malai,220,33.2,7.7,6
Ras gulla,197,37,4,4
Rice,160,36,0.5,3
Sambhar,260,520,1.3,14.1
Samosa,308,23,17.9,4.7
Sandesh,220,26,11,5
Shankarpali,450,26,50,15
Sheer Khurma,78,16,1,1
Sheera,314,38,15,6
shrikhand,130,23,3.5,4
Sohan halwa,86,10,5,0
Sohan Papdi,259,34.5,13.1,2.2
Sutar Feni,280,45,5,5
Unni Appam,71,13,1,0.6
,,,,
,,,,
,,,,
,,,,
,,,,
